,word
537,amounts
538,Li(COOCH3)2·2H2O
539,Co(COOCH3)2·4H2O
540,Cu(NO3)2·3H2O
541,Mg(COOCH3)2·4H2O
542,dissolving
543,minimum
544,quantity
545,triple
546,distilled
547,water
548,The
549,resulting
550,solution
551,concentrated
552,stirring
553,continuously
554,100°C
555,Thus
556,concentrated
557,solution
558,transferred
559,silica
560,crucible
561,placed
562,centre
563,rotating
564,plate
565,microwave
566,oven
567,Kenstar
568,India
569,2450
570,MHz
571,800
572,W
573,The
574,solution
575,irradiated
576,100%
577,power
578,15−25
579,minutes
580,During
581,reaction
582,acetates
583,nitrates
584,quickly
585,burnt
586,red
587,glow
588,appears
589,inside
590,silica
591,crucible
592,throughout
593,reaction
594,After
595,irradiation
596,product
597,ground
598,hours
599,obtain
600,phase
601,pure
602,LiMgxCuyCo1−x−yO2
603,
