,words,pos,dep,stop,likenum,nounchunk,cem,label
52,was,4,auxpass,1,0,0,0,0
53,put,4,ROOT,1,0,0,0,5
54,into,0,prep,1,0,0,0,0
55,the,0,det,1,0,0,0,0
56,autoclave,1,pobj,0,0,0,0,3
57,and,0,cc,1,0,0,0,0
58,heated,3,conj,0,0,0,0,5
59,at,0,prep,1,0,0,0,0
60,95,0,nummod,0,1,0,0,1
61,°C,1,compound,0,0,0,0,1
62,A,0,det,0,0,0,0,0
63,uniform,3,amod,0,0,0,0,0
64,yellow,3,amod,0,0,0,0,0
65,layer,1,nsubjpass,0,0,0,0,0
66,of,0,prep,1,0,0,0,0
67,iron,1,compound,0,0,0,1,2
68,oxyhydrodides,1,pobj,0,0,0,1,2
69,FeOOH,2,nmod,0,0,0,1,2
70,film,1,nsubjpass,0,0,0,0,4
71,was,4,auxpass,1,0,0,0,0
72,formed,4,ROOT,0,0,0,0,0
73,on,0,prep,1,0,0,0,0
74,the,0,det,1,0,0,0,0
75,FTO,2,compound,0,0,0,1,3
76,substrate,1,pobj,0,0,0,0,3
77,cooled,4,advcl,0,0,0,0,5
78,slowly,0,advmod,0,0,0,0,0
79,to,0,prep,1,0,0,0,0
80,room,4,compound,0,0,0,0,1
81,temperature,1,pobj,0,0,0,0,1
82,for,0,prep,1,0,0,0,0
83,PEC,2,compound,0,0,0,1,3
84,measurements,1,pobj,0,0,0,0,3
85,In,0,prep,0,0,0,0,0
86,a,0,det,1,0,0,0,0
87,different,3,amod,0,0,0,0,0
88,approach,1,pobj,0,0,0,0,0
89,hematite,1,advmod,0,0,0,1,2
90,-,0,punct,0,0,0,0,0
91,nanostructured,3,amod,0,0,0,0,4
92,photoanodes,1,nsubjpass,0,0,0,0,3
93,were,4,auxpass,1,0,0,0,0
94,prepared,4,ROOT,0,0,0,0,0
95,with,0,prep,1,0,0,0,0
96,the,0,det,1,0,0,0,0
97,same,3,amod,1,0,0,0,0
98,conditions,1,pobj,0,0,0,0,0
99,except,0,prep,1,0,0,0,0
100,the,0,det,1,0,0,0,0
101,lack,1,pobj,0,0,0,0,0
102,of,0,prep,1,0,0,0,0
103,using,4,pcomp,1,0,0,0,0
104,inorganic,3,amod,0,0,0,0,2
105,salt,1,dobj,0,0,0,0,2
106,NaNO3,1,advmod,0,0,0,1,2
107,in,0,prep,1,0,0,0,0
108,the,0,det,1,0,0,0,0
109,electrolyte,1,pobj,0,0,0,0,3
110,during,0,prep,1,0,0,0,0
111,the,0,det,1,0,0,0,0
112,process,1,pobj,0,0,0,0,0
113,of,0,prep,1,0,0,0,0
114,chemical,1,compound,0,0,0,0,5
115,bath,1,compound,0,0,0,0,5
116,deposition,1,pobj,0,0,0,0,5
117,Vertically,0,advmod,0,0,0,0,4
118,aligned,4,amod,0,0,0,0,4
119,Si,2,compound,0,0,0,1,2
120,nanostructure,1,nsubj,0,0,0,0,4
121,arrays,1,advmod,0,0,0,0,0
122,SiNs,2,appos,0,0,1,0,2
123,on,0,prep,1,0,0,0,0
124,boron,1,npadvmod,0,0,0,1,4
125,-,0,punct,0,0,0,0,4
126,doped,4,amod,0,0,0,0,4
127,p,1,nmod,0,0,0,0,4
128,-,0,punct,0,0,0,0,4
129,type,1,nmod,0,0,0,0,4
130,single-side-polished,3,amod,0,0,0,0,4
131,Si(100),1,pobj,0,0,0,1,2
132,substrates,1,nsubjpass,0,0,0,0,4
133,resistivity,1,appos,0,0,1,0,4
134,=,0,punct,0,0,0,0,0
135,2−10,0,compound,0,0,0,0,4
136,Ω,1,compound,0,0,0,0,4
137,cm,1,appos,0,0,0,0,4
138,were,4,auxpass,1,0,0,0,0
139,fabricated,4,ROOT,0,0,0,0,5
140,by,0,agent,1,0,0,0,0
141,ICP,2,compound,0,0,0,0,5
142,-,0,punct,0,0,0,0,5
143,RIE,2,compound,0,0,0,0,5
144,etching,4,compound,0,0,0,0,5
145,technique,1,pobj,0,0,0,0,5
146,using,4,acl,1,0,0,0,0
147,silver,3,compound,0,0,0,1,2
148,nanoparticles,1,advmod,0,0,0,0,4
149,as,0,prep,1,0,0,0,0
150,a,0,det,1,0,0,0,0
151,mask,1,pobj,0,0,0,0,0
152,Si,1,compound,0,0,0,1,2
153,substrates,1,nsubjpass,0,0,0,0,4
154,were,4,auxpass,1,0,0,0,0
155,first,0,advmod,1,0,0,0,0
156,cleaned,4,ROOT,0,0,0,0,5
157,through,0,prep,1,0,0,0,0
158,the,0,det,1,0,0,0,0
159,standard,3,amod,0,0,0,0,5
160,RCA,2,compound,0,0,0,0,5
161,cleaning,1,compound,0,0,0,0,5
162,process,1,pobj,0,0,0,0,5
163,Thereafter,0,advmod,0,0,0,0,0
164,a,0,det,1,0,0,0,0
165,uniform,3,amod,0,0,0,0,0
166,layer,1,nsubjpass,0,0,0,0,4
167,of,0,prep,1,0,0,0,0
168,Ag,2,pobj,0,0,1,1,2
169,nanoparticles,1,advmod,0,0,0,0,4
170,Ag,2,compound,0,0,0,1,2
171,NPs,2,appos,0,0,0,0,4
172,on,0,prep,1,0,0,0,0
173,cleaned,4,amod,0,0,0,0,0
174,Si,2,pobj,0,0,0,1,2
175,were,4,auxpass,1,0,0,0,0
176,prepared,4,ROOT,0,0,0,0,0
177,by,0,prep,1,0,0,0,0
178,depositing,4,pcomp,0,0,0,0,5
179,a,0,det,1,0,0,0,0
180,Ag,2,compound,0,0,0,1,2
181,film,1,dobj,0,0,0,0,4
182,∼10,1,nummod,0,0,0,0,4
183,nm,0,advcl,0,0,0,0,4
184,thick,3,amod,0,0,0,0,4
185,by,0,agent,1,0,0,0,0
186,thermal,3,amod,0,0,0,0,5
187,evaporation,1,pobj,0,0,0,0,5
188,followed,4,acl,0,0,0,0,0
189,by,0,agent,1,0,0,0,0
190,annealing,4,pobj,0,0,0,0,5
191,in,0,prep,1,0,0,0,0
192,an,0,det,1,0,0,0,0
193,inert,3,amod,0,0,0,0,1
194,atmosphere,1,pobj,0,0,0,0,1
195,at,0,prep,1,0,0,0,0
196,400,0,nummod,0,1,0,0,1
197,°C,1,compound,0,0,0,0,1
198,for,0,prep,1,0,0,0,0
199,1,0,nummod,0,1,0,0,1
200,h.,1,compound,0,0,0,0,1
201,Si,2,compound,0,0,0,1,2
202,pieces,1,pobj,0,0,0,0,4
203,of,0,prep,1,0,0,0,0
204,2,0,nummod,0,1,0,0,4
205,×,1,nmod,0,0,0,0,4
206,2,0,nummod,0,1,0,0,4
207,cm2,1,pobj,0,0,0,0,4
208,in,0,prep,1,0,0,0,0
209,size,1,pobj,0,0,1,0,4
210,coated,4,acl,0,0,0,0,4
211,with,0,prep,1,0,0,0,0
212,Ag,2,compound,0,0,0,1,2
213,NPs,2,pobj,0,0,0,0,4
214,average,3,amod,0,0,0,0,4
215,diameter,1,appos,0,0,0,0,4
216,of,0,prep,1,0,0,0,0
217,∼50,1,pobj,0,0,1,0,4
218,nm,0,appos,0,0,0,0,4
219,were,4,auxpass,1,0,0,0,0
220,then,0,advmod,1,0,0,0,0
221,transferred,4,conj,0,0,0,0,5
222,into,0,prep,1,0,0,0,0
223,the,0,det,1,0,0,0,0
224,SENTECH,2,nmod,0,0,0,0,0
225,SI,2,nmod,0,0,0,0,0
226,500,0,nummod,0,1,0,0,0
227,ICP,2,compound,0,0,0,0,3
228,-,0,punct,0,0,0,0,3
229,RIE,2,compound,0,0,0,0,3
230,system,1,pobj,0,0,0,0,3
231,employing,4,acl,0,0,0,0,0
232,CF4,3,compound,0,0,0,1,2
233,gas,1,dobj,0,0,0,0,0
234,to,0,aux,1,0,0,0,0
235,etch,4,advcl,0,0,0,0,5
236,the,0,det,1,0,0,0,0
237,unmasked,3,amod,0,0,0,0,0
238,area,1,dobj,0,0,0,0,0
239,In,0,prep,0,0,0,0,0
240,CF4-based,3,amod,0,0,0,1,3
241,plasma,1,compound,0,0,0,0,3
242,etching,4,amod,0,0,0,0,3
243,system,1,pobj,0,0,0,0,3
244,under,0,prep,1,0,0,0,0
245,application,1,pobj,0,0,0,0,0
246,of,0,prep,1,0,0,0,0
247,an,0,det,1,0,0,0,0
248,electric,3,amod,0,0,0,0,0
249,field,1,pobj,0,0,0,0,0
250,free,3,amod,0,0,0,0,0
251,electrons,1,nsubj,0,0,0,0,0
252,collide,1,ROOT,0,0,0,0,0
253,with,0,prep,1,0,0,0,0
254,neutral,3,amod,0,0,0,0,0
255,molecules,1,pobj,0,0,0,0,0
256,of,0,prep,1,0,0,0,0
257,CF4,2,pobj,0,0,1,1,2
258,resulting,4,advcl,0,0,0,0,0
259,in,0,prep,1,0,0,0,0
260,dissociation,1,pobj,0,0,1,0,5
261,of,0,prep,1,0,0,0,0
262,CF4,2,pobj,0,0,1,1,2
263,into,0,prep,1,0,0,0,0
264,electrons,1,pobj,0,0,1,0,2
265,ions,1,conj,0,0,1,0,2
266,and,0,cc,1,0,0,0,0
267,fluorine,1,compound,0,0,0,1,2
268,radicals,1,conj,0,0,0,0,2
269,because,0,prep,1,0,0,0,0
270,of,0,pcomp,1,0,0,0,0
271,dissociative,3,amod,0,0,0,0,5
272,ionization,1,pobj,0,0,0,0,5
273,resulting,4,advcl,0,0,0,0,0
274,in,0,prep,1,0,0,0,0
275,the,0,det,1,0,0,0,0
276,formation,1,pobj,0,0,0,0,0
277,of,0,prep,1,0,0,0,0
278,volatile,3,amod,0,0,0,0,4
279,SiF4,1,pobj,0,0,0,1,2
280,Though,0,mark,0,0,0,0,0
281,dry,3,amod,0,0,0,0,5
282,etching,1,nsubj,0,0,0,0,5
283,is,4,advcl,1,0,0,0,0
284,a,0,det,1,0,0,0,0
285,combination,1,attr,0,0,0,0,0
286,of,0,prep,1,0,0,0,0
287,both,0,det,1,0,0,0,0
288,physical,3,amod,0,0,0,0,4
289,and,0,cc,1,0,0,0,0
290,chemical,1,conj,0,0,0,0,4
291,mechanisms,1,pobj,0,0,0,0,4
292,outer,3,amod,0,0,0,0,0
293,Si,2,compound,0,0,0,1,2
294,atoms,1,nsubjpass,0,0,0,0,2
295,are,4,auxpass,1,0,0,0,0
296,dominantly,0,advmod,0,0,0,0,0
297,removed,4,ROOT,0,0,0,0,0
298,by,0,agent,1,0,0,0,0
299,chemical,3,compound,0,0,0,0,0
300,reaction,1,pobj,0,0,0,0,0
301,in,0,prep,1,0,0,0,0
302,an,0,det,1,0,0,0,0
303,ICP,2,compound,0,0,0,0,5
304,-,0,punct,0,0,0,0,5
305,RIE,2,compound,0,0,0,0,5
306,process,1,pobj,0,0,0,0,5
307,Although,0,mark,0,0,0,0,0
308,the,0,det,1,0,0,0,0
309,ICP,2,compound,0,0,0,0,0
310,power,1,nsubj,0,0,0,0,0
311,controls,4,advcl,0,0,0,0,0
312,the,0,det,1,0,0,0,0
313,plasma,1,compound,0,0,0,0,0
314,density,1,dobj,0,0,0,0,0
315,an,0,det,1,0,0,0,0
316,additional,3,amod,0,0,0,0,0
317,RF,1,compound,0,0,0,0,2
318,source,1,nsubjpass,0,0,0,0,0
319,is,4,auxpass,1,0,0,0,0
320,coupled,4,ROOT,0,0,0,0,0
321,capacitively,0,advmod,0,0,0,0,0
322,to,0,prep,1,0,0,0,0
323,the,0,det,1,0,0,0,0
324,substrate,1,amod,0,0,0,0,0
325,holder,1,pobj,0,0,0,0,0
326,to,0,aux,1,0,0,0,0
327,adjust,4,advcl,0,0,0,0,0
328,the,0,det,1,0,0,0,0
329,substrate,1,amod,0,0,0,0,0
330,bias,1,compound,0,0,0,0,1
331,voltage,1,dobj,0,0,0,0,1
332,The,0,det,0,0,0,0,0
333,bias,1,compound,0,0,0,0,1
334,voltage,1,nsubj,0,0,0,0,1
335,to,0,prep,1,0,0,0,0
336,the,0,det,1,0,0,0,0
337,substrate,1,pobj,0,0,0,0,0
338,is,4,ROOT,1,0,0,0,0
339,generally,0,advmod,0,0,0,0,0
340,very,0,advmod,1,0,0,0,0
341,low,3,acomp,0,0,0,0,0
342,on,0,prep,1,0,0,0,0
343,the,0,det,1,0,0,0,0
344,order,1,pobj,0,0,0,0,0
345,of,0,prep,1,0,0,0,0
346,a,0,det,1,0,0,0,0
347,few,3,amod,1,0,0,0,0
348,tens,1,pobj,0,0,0,0,1
349,of,0,prep,1,0,0,0,0
350,volts,1,pobj,0,0,1,0,1
351,only,0,advmod,1,0,0,0,0
352,offering,4,advcl,0,0,0,0,0
353,low,3,amod,0,0,0,0,1
354,velocity,1,dobj,0,0,0,0,1
355,with,0,prep,1,0,0,0,0
356,which,0,pobj,1,0,0,0,0
357,ions,1,nsubj,0,0,1,0,2
358,hit,4,relcl,0,0,0,0,0
359,the,0,det,1,0,0,0,0
360,substrate,1,dobj,0,0,0,0,4
361,As,0,prep,0,0,0,0,0
362,a,0,det,1,0,0,0,0
363,result,1,pobj,0,0,0,0,0
364,the,0,det,1,0,0,0,0
365,ICP,2,compound,0,0,0,0,5
366,-,0,punct,0,0,0,0,5
367,RIE,2,compound,0,0,0,0,5
368,method,1,nsubj,0,0,0,0,5
369,provides,4,ROOT,0,0,0,0,0
370,minimal,3,amod,0,0,0,0,0
371,ion,1,npadvmod,0,0,0,0,0
372,-,0,punct,0,0,0,0,0
373,induced,4,amod,0,0,0,0,0
374,damage,1,dobj,0,0,0,0,0
375,Substrate,1,amod,0,0,0,0,1
376,temperature,1,nsubjpass,0,0,0,0,1
377,gas,1,compound,0,0,0,0,1
378,flow,1,compound,0,0,0,0,1
379,rate,1,conj,0,0,0,0,1
380,and,0,cc,1,0,0,0,0
381,chamber,1,compound,0,0,0,0,1
382,pressure,1,conj,0,0,0,0,1
383,were,4,auxpass,1,0,0,0,0
384,kept,4,ROOT,0,0,0,0,0
385,at,0,prep,1,0,0,0,0
386,constant,3,amod,0,0,0,0,0
387,values,1,pobj,0,0,0,0,0
388,of,0,prep,1,0,0,0,0
389,20,0,nummod,0,1,0,0,1
390,°C,1,compound,0,0,0,0,1
391,0.6,0,nummod,0,1,0,0,1
392,Pa,2,conj,0,0,0,0,1
393,and,0,cc,1,0,0,0,0
394,40,0,nummod,0,1,0,0,1
395,sccm,1,conj,0,0,0,0,1
396,respectively,0,advmod,0,0,0,0,0
397,which,0,nsubjpass,1,0,0,0,0
398,are,4,auxpass,1,0,0,0,0
399,found,4,relcl,0,0,0,0,0
400,to,0,aux,1,0,0,0,0
401,be,4,xcomp,1,0,0,0,0
402,optimal,3,acomp,0,0,0,0,0
403,for,0,prep,1,0,0,0,0
404,growth,1,pobj,0,0,0,0,0
405,ICP,1,nsubj,0,0,1,0,0
406,and,0,cc,1,0,0,0,0
407,RF,1,compound,0,0,0,0,0
408,powers,1,conj,0,0,0,0,0
409,were,4,ROOT,1,0,0,0,0
410,varied,3,acomp,0,0,0,0,0
411,to,0,aux,1,0,0,0,0
412,attain,4,xcomp,0,0,0,0,0
413,the,0,det,1,0,0,0,0
414,desired,4,amod,0,0,0,0,0
415,aspect,1,compound,0,0,0,0,4
416,ratio,1,dobj,0,0,0,0,4
417,for,0,prep,1,0,0,0,0
418,lowest,0,amod,0,0,0,0,0
419,reflectance,1,pobj,0,0,0,0,0
420,in,0,prep,1,0,0,0,0
421,Si,2,compound,0,0,0,1,2
422,nanostructures,1,pobj,0,0,0,0,4
423,The,0,det,0,0,0,0,0
424,n,3,amod,0,0,0,0,4
425,-,0,punct,0,0,0,0,4
426,type,1,nsubj,0,0,0,0,4
427,undoped,3,amod,0,0,0,0,4
428,GaN,1,npadvmod,0,0,0,1,4
429,-,0,punct,0,0,0,0,4
430,coated,4,amod,0,0,0,0,4
431,sapphire,1,compound,0,0,0,1,2
432,substrate,1,nsubjpass,0,0,0,0,4
433,was,4,auxpass,1,0,0,0,0
434,initially,0,advmod,0,0,0,0,0
435,cleaned,4,ROOT,0,0,0,0,5
436,with,0,prep,1,0,0,0,0
437,acetone,1,pobj,0,0,1,1,2
438,ethanol,1,conj,0,0,1,1,2
439,and,0,cc,1,0,0,0,0
440,deionized,4,amod,0,0,0,0,2
441,water,1,conj,0,0,0,0,2
442,respectively,0,advmod,0,0,0,0,0
443,and,0,cc,1,0,0,0,0
444,then,0,advmod,1,0,0,0,0
445,blown,4,conj,0,0,0,0,5
446,with,0,prep,1,0,0,0,0
447,dry,3,amod,0,0,0,0,0
448,N2,2,pobj,0,0,0,1,2
449,before,0,prep,1,0,0,0,0
450,deposition,1,pobj,0,0,1,0,5
451,The,0,det,0,0,0,0,0
452,n-GAN,1,compound,0,0,0,1,4
453,layer,1,nsubj,0,0,0,0,4
454,with,0,prep,1,0,0,0,0
455,a,0,det,1,0,0,0,0
456,thickness,1,pobj,0,0,0,0,4
457,of,0,prep,1,0,0,0,0
458,3.2,0,pobj,0,1,0,0,4
459,μm,0,nsubj,0,0,1,0,4
460,has,4,ROOT,1,0,0,0,0
461,a,0,det,1,0,0,0,0
462,resistivity,1,dobj,0,0,0,0,4
463,and,0,cc,1,0,0,0,0
464,a,0,det,1,0,0,0,0
465,carrier,1,compound,0,0,0,0,4
466,concentration,1,conj,0,0,0,0,4
467,of,0,prep,1,0,0,0,0
468,9.13,0,nummod,0,1,0,0,4
469,×,1,nmod,0,0,0,0,4
470,10,0,nummod,0,1,0,0,4
471,^−2,1,pobj,0,0,0,0,4
472,Ω,1,compound,0,0,0,0,4
473,cm,1,appos,0,0,0,0,4
474,and,0,cc,1,0,0,0,0
475,1.78,0,nummod,0,1,0,0,4
476,×,1,nmod,0,0,0,0,4
477,10,0,compound,0,1,0,0,4
478,^17,0,nummod,0,1,0,0,4
479,cm−3,1,conj,0,0,0,0,4
480,respectively,0,advmod,0,0,0,0,0
481,Then,0,advmod,0,0,0,0,0
482,80-nm,0,compound,0,0,0,0,4
483,MZO,1,compound,0,0,0,0,2
484,film,1,nsubjpass,0,0,0,0,4
485,was,4,auxpass,1,0,0,0,0
486,deposited,4,ROOT,0,0,0,0,5
487,on,0,prep,1,0,0,0,0
488,the,0,det,1,0,0,0,0
489,GaN,2,npadvmod,0,0,0,1,4
490,-,0,punct,0,0,0,0,4
491,coated,4,amod,0,0,0,0,4
492,sapphire,1,compound,0,0,0,1,2
493,substrate,1,pobj,0,0,0,0,4
494,by,0,prep,1,0,0,0,0
495,radio,1,compound,0,0,0,0,5
496,frequency,1,pobj,0,0,0,0,5
497,reactive,3,amod,0,0,0,0,5
498,magnetron,3,compound,0,0,0,0,5
499,sputtering,1,dobj,0,0,0,0,5
500,at,0,prep,1,0,0,0,0
501,100,0,nummod,0,1,0,0,1
502,°C,1,compound,0,0,0,0,1
503,The,0,det,0,0,0,0,0
504,films,1,nsubjpass,0,0,0,0,4
505,were,4,auxpass,1,0,0,0,0
506,deposited,4,ROOT,0,0,0,0,5
507,at,0,prep,1,0,0,0,0
508,total,3,amod,0,0,0,0,1
509,pressure,1,pobj,0,0,0,0,1
510,of,0,prep,1,0,0,0,0
511,2.0,0,nummod,0,1,0,0,1
512,Pa,2,pobj,0,0,0,0,1
513,with,0,prep,1,0,0,0,0
514,a,0,det,1,0,0,0,0
515,power,1,pobj,0,0,0,0,1
516,of,0,prep,1,0,0,0,0
517,sputtering,1,pobj,0,0,1,0,5
518,of,0,prep,1,0,0,0,0
519,120,0,nummod,0,1,0,0,1
520,W,2,pobj,0,0,0,0,1
521,and,0,cc,1,0,0,0,0
522,an,0,det,1,0,0,0,0
523,Ar,2,nmod,0,0,0,0,1
524,/,0,punct,0,0,0,0,1
525,O2,1,compound,0,0,0,1,1
526,ratio,1,conj,0,0,0,0,1
527,of,0,prep,1,0,0,0,0
528,8:3,0,pobj,0,0,0,0,1
529,Herein,2,nsubjpass,0,0,1,0,0
530,the,0,det,1,0,0,0,0
531,thickness,1,appos,0,0,0,0,4
532,of,0,prep,1,0,0,0,0
533,the,0,det,1,0,0,0,0
534,MZO,1,compound,0,0,0,1,2
535,film,1,pobj,0,0,0,0,4
536,is,4,auxpass,1,0,0,0,0
537,measured,4,ROOT,0,0,0,0,5
538,by,0,agent,1,0,0,0,0
539,a,0,det,1,0,0,0,0
540,surface,1,compound,0,0,0,0,3
541,profilometer,1,pobj,0,0,0,0,3
542,Talysurf,2,compound,0,0,0,0,0
543,Serles,0,compound,0,0,0,0,0
544,II,2,appos,0,0,0,0,0
545,and,0,cc,1,0,0,0,0
546,the,0,det,1,0,0,0,0
547,MZO,1,compound,0,0,0,1,2
548,composition,1,nsubjpass,0,0,0,0,6
549,was,4,auxpass,1,0,0,0,0
550,determined,4,conj,0,0,0,0,5
551,by,0,agent,1,0,0,0,0
552,X-ray,1,compound,0,0,0,0,3
553,photoelectron,1,compound,0,0,0,0,3
554,spectroscopy,1,pobj,0,0,0,0,3
555,XPS,2,appos,0,0,1,0,3
556,Before,0,prep,0,0,0,0,0
557,deposition,1,pobj,0,0,0,0,5
558,the,0,det,1,0,0,0,0
559,target,1,nsubjpass,0,0,0,0,0
560,was,4,auxpass,1,0,0,0,0
561,presputtered,4,ROOT,0,0,0,0,5
562,for,0,prep,1,0,0,0,0
563,10,0,nummod,0,1,0,0,1
564,min,1,pobj,0,0,0,0,1
565,to,0,aux,1,0,0,0,0
566,remove,4,advcl,0,0,0,0,0
567,some,0,det,1,0,0,0,0
568,possible,3,amod,0,0,0,0,0
569,contaminants,1,dobj,0,0,0,0,0
570,Then,0,advmod,0,0,0,0,0
571,80-nm-thick,3,amod,0,0,0,0,4
572,Au,2,compound,0,0,0,1,3
573,electrodes,1,nsubjpass,0,0,0,0,3
574,were,4,auxpass,1,0,0,0,0
575,patterned,4,ROOT,0,0,0,0,5
576,on,0,prep,1,0,0,0,0
577,the,0,det,1,0,0,0,0
578,ZnO,2,compound,0,0,0,1,2
579,surface,1,pobj,0,0,0,0,0
580,with,0,prep,1,0,0,0,0
581,a,0,det,1,0,0,0,0
582,shadow,1,compound,0,0,0,0,0
583,mask,1,pobj,0,0,0,0,0
584,by,0,prep,1,0,0,0,0
585,radio,1,compound,0,0,0,0,5
586,frequency,1,pobj,0,0,0,0,5
587,reactive,3,amod,0,0,0,0,5
588,magnetron,3,compound,0,0,0,0,5
589,sputtering,1,acl,0,0,0,0,5
590,at,0,prep,1,0,0,0,0
591,room,1,compound,0,0,0,0,1
592,temperature,1,pobj,0,0,0,0,1
593,After,0,prep,0,0,0,0,0
594,that,0,pobj,1,0,0,0,0
595,the,0,det,1,0,0,0,0
596,devices,1,nsubjpass,0,0,0,0,0
597,were,4,auxpass,1,0,0,0,0
598,annealed,4,ROOT,0,0,0,0,5
599,at,0,prep,1,0,0,0,0
600,700,0,nummod,0,1,0,0,1
601,°C,1,compound,0,0,0,0,1
602,for,0,prep,1,0,0,0,0
603,2,0,nummod,0,1,0,0,1
604,h,1,pobj,0,0,0,0,1
605,in,0,prep,1,0,0,0,0
606,air,1,pobj,0,0,1,0,1
607,Finally,0,advmod,0,0,0,0,0
608,to,0,aux,1,0,0,0,0
609,get,4,advcl,1,0,0,0,0
610,large,3,amod,0,0,0,0,0
611,-,0,punct,0,0,0,0,0
612,area,1,nmod,0,0,0,0,0
613,Ohmic,3,amod,0,0,0,0,0
614,contacts,1,dobj,0,0,0,0,0
615,to,0,prep,1,0,0,0,0
616,the,0,det,1,0,0,0,0
617,surface,1,pobj,0,0,0,0,0
618,of,0,prep,1,0,0,0,0
619,GaN,2,pobj,0,0,1,1,2
620,an,0,det,1,0,0,0,0
621,In,0,compound,0,0,0,0,3
622,electrode,1,nsubjpass,0,0,0,0,3
623,was,4,auxpass,1,0,0,0,0
624,applied,4,ROOT,0,0,0,0,0
625,The,0,det,0,0,0,0,0
626,Au,2,nmod,0,0,0,1,3
627,electrode,1,compound,0,0,0,0,3
628,area,1,nsubj,0,0,0,0,0
629,is,4,ROOT,1,0,0,0,0
630,π,0,mark,0,0,0,0,0
631,×,1,nmod,0,0,0,0,0
632,0.5,0,compound,0,1,0,0,0
633,2,0,nummod,0,1,0,0,0
634,mm2,1,nsubj,0,0,0,0,0
635,and,0,cc,1,0,0,0,0
636,the,0,det,1,0,0,0,0
637,In,0,conj,0,0,0,0,0
638,electrode,1,compound,0,0,0,0,0
639,area,1,pobj,0,0,0,0,0
640,is,4,ccomp,1,0,0,0,0
641,1,0,nummod,0,1,0,0,0
642,×,1,nmod,0,0,0,0,0
643,0.5,0,nummod,0,1,0,0,0
644,mm2,1,attr,0,0,0,0,0
645,All,0,predet,0,0,0,0,0
646,the,0,det,1,0,0,0,0
647,I−V,4,amod,0,0,0,0,4
648,characteristics,1,nsubjpass,0,0,0,0,4
649,were,4,auxpass,1,0,0,0,0
650,measured,4,ROOT,0,0,0,0,5
651,by,0,agent,1,0,0,0,0
652,a,0,det,1,0,0,0,0
653,Keithley,2,compound,0,0,0,0,3
654,4200,0,nummod,0,1,0,0,3
655,electrometer,1,pobj,0,0,0,0,3
656,The,0,det,0,0,0,0,0
657,EL,2,compound,0,0,0,0,5
658,measurements,1,nsubjpass,0,0,0,0,5
659,were,4,auxpass,1,0,0,0,0
660,carried,4,ROOT,0,0,0,0,0
661,out,0,prt,1,0,0,0,0
662,in,0,prep,1,0,0,0,0
663,an,0,det,1,0,0,0,0
664,Acton,2,nmod,0,0,0,0,3
665,SpectroPro,2,nmod,0,0,0,0,3
666,2500,0,nummod,0,1,0,0,3
667,monochromator,1,pobj,0,0,0,0,3
668,Transmission,1,compound,0,0,0,0,3
669,electron,1,compound,0,0,0,0,3
670,microscope,1,nsubjpass,0,0,0,0,3
671,TEM,1,nmod,0,0,0,0,3
672,techniques,1,appos,0,0,0,0,0
673,including,4,prep,0,0,0,0,0
674,the,0,det,1,0,0,0,0
675,bright,3,amod,0,0,0,0,3
