,word
235,absence,4
236,of,0
237,Zn(NO3)2,4
238,Cu2+]/[Fe3+,4
239,=,11
240,1:2,12
241,In,0
242,a,0
243,typical,0
244,synthetic,7
245,procedure,0
246,the,0
247,composite,2
248,microspheres,2
249,of,0
250,pyrite,1
251,and,0
252,polyvinylpyrrolidone,1
253,PVP,1
254,were,0
255,ﬁrst,0
256,synthesized,7
257,brieﬂy,0
258,0.556,10
259,g,9
260,of,0
261,FeSO4·7H2O,1
262,and,0
263,0.6,10
264,g,9
265,of,0
266,PVP-K30,1
267,were,0
268,dissolved,6
269,in,0
270,20,10
271,mL,9
272,of,0
273,ethylene,4
274,glycol,4
275,in,0
276,a,0
277,100,10
278,mL,9
279,round-bottomed-flask,5
281,Then,0
282,0.128,10
283,g,9
284,of,0
285,S,1
286,powder,3
287,was,0
288,dispersed,6
289,in,0
290,the,0
291,solution,3
292,by,0
293,ultrasonication,4
294,for,0
295,a,0
296,few,11
297,minutes,8
298,The,0
299,round-bottomed-flask,5
301,was,0
302,equipped,0
303,on,0
304,the,0
305,microwave,5
306,reactor,5
307,for,0
308,reaction,6
309,of,0
310,30,10
311,min,8
312,under,0
313,nitrogen,4
314,ﬂow,4
315,at,0
316,80%,11
317,of,0
318,the,0
319,full,11
320,power,11
321,and,0
322,a,0
323,black,2
324,precipitate,2
325,was,0
326,obtained,0
327,The,0
328,dried,6
329,black,2
330,precipitate,2
331,was,0
332,then,0
333,calcined,6
334,in,0
335,air,4
336,at,0
337,900,10
338,°C,8
339,for,0
340,10,10
341,min,8
342,with,0
343,a,0
344,heating,4
345,rate,4
346,of,0
347,5,10
348,°C min−1,11
350,and,0
351,cooled,6
352,to,0
353,room,11
354,temperature,11
355,naturally,0
356,Finally,0
357,a,0
358,red,0
359,powder,2
360,was,0
361,obtained,0
362,and,0
363,collected,0
364,for,0
365,further,0
366,characterizations,0
368,Synthesis,7
369,of,0
370,GO,2
371,and,0
372,Na3V2(PO4)3,2
373,GO,2
374,was,0
375,prepared,6
376,by,0
377,an,0
378,improved,0
379,Hummers,0
380,course,0
381,The,0
382,resultant,0
383,GO,2
384,dispersion,0
385,underwent,0
386,dialysis,6
387,room,11
388,temperature,11
389,14,10
390,days,8
391,and,0
392,rotary,6
393,evaporation,6
394,60,10
395,°C,8
396,to,0
397,remove,0
398,suitable,0
399,water,0
400,The,0
401,concentration,3
402,of,0
403,the,0
404,ﬁnal,0
405,GO,2
406,dispersion,0
407,adopted,0
408,is,0
409,5.24,10
410,mg,9
411,mL−1,9
412,In,0
413,a,0
414,typical,0
415,synthesis,7
416,of,0
417,Na3V2(PO4)3,2
418,NVP,2
419,NH4VO3,1
420,2,10
421,mmol,9
422,and,0
423,oxalic,1
424,acid,1
425,8.4,10
426,mmol,9
427,were,0
428,added,4
429,in,0
430,80,10
431,mL,9
432,of,0
433,water,4
434,at,0
435,80,10
436,°C,8
437,After,0
438,stirring,6
439,for,0
440,1,10
441,h,8
442,the,0
443,above,0
444,GO,2
445,dispersion,0
446,was,0
447,added,6
448,into,0
449,the,0
450,mixture,3
451,under,0
452,sonication,4
453,for,0
454,0.5,10
455,h,8
456,Then,0
457,Na2CO3,1
458,1.5,10
459,mmol,9
460,and,0
461,NH4H2PO4,1
462,3,10
463,mmol,9
464,were,0
465,added,6
466,under,0
467,agitation,4
468,for,0
469,36,10
470,h,8
471,The,0
472,resultan,0t
473,product,0
474,was,0
475,precalcined,6
476,at,0
477,350,10
478,°C,8
479,for,0
480,3,10
481,h,8
482,under,0
483,an,0
484,N2,4
485,atmosphere,4
486,followed,0
487,by,0
488,the,0
489,powder,3
490,produced,0
491,being,0
492,calcined,6
493,at,0
494,700,10
495,°C,8
496,for,0
497,10,10
498,h,8
499,in,10
500,H2−Ar,4
501,mixture,3
502,with,0
503,5%,12
504,H2,4
505,v/v,4
506,CuInSe2,2
507,Nanocrystal,3
508,Synthesis,7
509,CIS,2
510,nanocrystals,3
511,were,0
512,synthesized,7
513,using,0
514,a,0
515,modiﬁcation,0
516,of,0
517,published,0
518,procedures,0
519,In,0
520,a,0
521,typical,0
522,reaction,0
523,2,10
524,mmol,9
525,of,0
526,CuCl,1
527,2,10
528,mmol,9
529,of,0
530,InCl3,1
531,4,10
532,mmol,9
533,of,0
534,Se,1
535,and,0
536,20,10
537,mL,9
538,of,0
539,degassed,11
540,oleylamine,1
541,are,0
542,added,6
543,to,0
544,a,0
545,100,10
546,mL,9
547,three-neck-flask,5
549,inside,0
550,an,0
551,N2,4
552,ﬁlled,6
553,glovebox,5
554,The,0
555,ﬂask,5
556,is,0
557,attached,0
558,to,0
559,a,0
560,standard,5
561,Schlenk,5
562,line,5
563,and,0
564,degassed,11
565,at,0
566,110,10
567,°C,8
568,under,0
569,a,0
570,vacuum,4
571,for,0
572,45,10
573,min,8
574,The,0
575,ﬂask,5
576,is,0
577,then,0
578,ﬁlled,6
579,with,0
580,nitrogen,4
581,and,0
582,heated,6
583,to,0
584,200,10
585,°C,8
586,After,0
587,30,10
588,min,8
589,the,0
590,temperature,4
591,is,0
592,raised,0
593,to,0
594,260,10
595,°C,8
596,After,0
597,10,10
598,min,8
599,the,0
600,heating,6
601,mantle,5
602,is,0
603,removed,6
604,and,0
605,the,0
606,reaction,0
607,is,0
608,allowed,0
609,to,0
610,cool,6
611,to,0
612,room,4
613,temperature,4
614,The,0
615,nanocrystals,3
616,are,0
617,washed,6
618,via,0
619,centrifugation,6
620,using,0
621,toluene,11
622,and,0
623,ethanol,11
624,as,0
625,the,0
626,solvent,4
627,and,0
628,antisolvent,4
629,respectively,0
630,Poorly,11
631,capped,11
632,nanocrystals,2
633,are,0
634,then,0
635,separated,6
636,from,0
637,the,0
638,toluene,11
639,solution,3
640,via,0
641,centrifugation,6
642,The,0
643,ﬁnal,0
644,nanocrystal,2
645,dispersion,3
646,is,0
647,then,0
648,transferred,0
649,to,0
650,a,0
651,glovebox,5
652,for,0
653,the,0
654,ligand,7
655,exchange,7
657,Synthesis,7
658,of,0
659,PEI-PTMC,2
660,PTMC20k-COOH,1
661,4.0,10
662,g,9
663,0.2,10
664,mmol,9
665,and,0
666,DCC,1
667,4.1,10
668,g,9
669,20,10
670,mmol,9
671,were,0
672,dissolved,6
673,in,0
674,10,10
675,mL,9
676,of,0
677,dried,4
678,DMF,4
679,and,0
680,stirred,6
681,at,0
682,room,4
683,temperature,4
684,for,0
685,2,10
686,h,8
687,Then,0
688,PEI25K,1
689,5.0,10
690,g,9
691,0.2,10
692,mmol,9
693,and,0
694,DMAP,1
695,0.27,10
696,g,9
697,2,10
698,mmol,9
699,were,0
700,added,0
701,to,0
702,the,0
703,above,0
704,solution,3
705,The,0
706,solution,3
707,was,0
708,kept,0
709,stirring,6
710,at,0
711,room,4
712,temperature,4
713,for,0
714,24,10
715,h,8
716,The,0
717,resulting,0
718,mixture,3
719,was,0
720,ﬁltered,6
721,and,0
722,the,0
723,ﬁltrate,3
724,was,0
725,dialyzed,6
726,MWCO,4
727,=,11
728,30000,10
729,Da,9
730,against,0
731,distilled,4
732,water,4
733,for,0
734,48,10
735,h,8
736,then,0
737,lyophilized,6
738,to,0
739,obtain,0
740,PEI-PTMC,2
741,Synthesis,7
742,of,0
743,PEG-DA,2
744,mPEG2k-NH2,1
745,400,10
746,mg,9
747,0.2,10
748,mmol,9
749,and,0
750,DA,1
751,276,10
752,mg,9
753,2,10
754,mmol,9
755,in,0
756,20,10
757,mL,9
758,of,0
759,PBS,1
760,pH,8
761,8.0,10
762,was,0
763,stirred,6
764,at,0
765,room,4
766,temperature,4
767,for,0
768,24,10
769,h,8
770,Then,0
771,the,0
772,solution,3
773,was,0
774,dialyzed,6
775,MWCO,4
776,=,11
777,1000,10
778,Da,9
779,against,0
780,distilled,4
781,water,4
782,at,0
783,neutral,11
784,pH,8
785,for,0
786,24,10
787,h,8
788,and,0
789,lyophilized,6
790,to,0
791,obtain,0
792,PEG-DA,2
794,Synthesis,7
795,of,0
796,LiMgxCuyCo1−x−yO2,2
797,was,0
798,carried,0
799,out,0
800,by,0
801,mixing,6
802,stoichiometric,11
803,amounts,11
804,of,0
805,Li(COOCH3)2·2H2O,1
806,Co(COOCH3)2·4H2O,1
807,Cu(NO3)2·3H2O,1
808,and,0
809,Mg(COOCH3)2·4H2O,1
810,and,0
811,dissolving,6
812,in,0
813,minimum,11
814,quantity,11
815,of,0
816,triple,12
817,distilled,4
818,water,4
819,The,0
820,resulting,0
821,solution,3
822,was,0
823,concentrated,0
824,by,0
825,stirring,6
826,continuously,0
827,at,0
828,100,10
829,Thus,0
830,concentrated,0
831,solution,3
832,was,0
833,transferred,0
834,to,0
835,a,0
836,silica,0
837,crucible,5
838,and,0
839,placed,0
840,at,0
841,the,0
842,centre,0
843,of,0
844,the,0
845,rotating,0
846,plate,0
847,of,0
848,a,0
849,microwave,5
850,oven,5
851,Kenstar,0
852,India,0
853,2450,10
854,MHz,8
855,800,20
856,W,8
857,The,0
858,solution,3
859,was,0
860,irradiated,6
861,at,0
862,100%,12
863,power,4
864,for,0
865,15−25,10
866,minutes,8
867,During,0
868,the,0
869,reaction,0
870,the,0
871,acetates,1
872,and,0
873,nitrates,1
874,were,0
875,quickly,0
876,burnt,4
877,and,0
878,a,0
879,red,0
880,glow,0
881,appears,0
882,inside,0
883,the,0
884,silica,0
885,crucible,5
886,throughout,0
887,the,0
888,reaction,0
889,After,0
890,irradiation,6
891,the,0
892,product,0
893,was,0
894,ground,6
895,for,0
896,few,0
897,hours,8
898,to,0
899,obtain,0
900,phase,0
901,pure,0
902,LiMgxCuyCo1−x−yO2,2
903,°C,8
