,word,label
145,reference,0
146,Cu−Fe,2
147,composite,2
148,oxide,2
149,designated,0
150,Cu−Fe−O,2
151,prepared,6
152,absence,4
153,Zn(NO3)2,4
154,Cu2+]/[Fe3+,4
155,=,11
156,1:2,12
157,In,0
158,typical,0
159,synthetic,7
160,procedure,0
161,composite,2
162,microspheres,2
163,pyrite,1
164,polyvinylpyrrolidone,1
165,PVP,1
166,ﬁrst,0
167,synthesized,7
168,brieﬂy,0
169,0.556,10
170,g,9
171,FeSO4·7H2O,1
172,0.6,10
173,g,9
174,PVP-K30,1
175,dissolved,6
176,20,10
177,mL,9
178,ethylene,4
179,glycol,4
180,100,10
181,mL,9
182,round-bottomed-ﬂask,5
184,Then,0
185,0.128,10
186,g,9
187,S,1
188,powder,3
189,dispersed,6
190,solution,3
191,ultrasonication,4
192,minutes,11
193,The,0
194,round-bottomed-ﬂask,5
196,equipped,0
197,microwave,5
198,reactor,5
199,reaction,6
200,30,10
201,min,8
202,nitrogen,4
203,ﬂow,4
204,80%,11
205,full,11
206,power,11
207,black,2
208,precipitate,2
209,obtained,0
210,The,0
211,dried,6
212,black,2
213,precipitate,2
214,calcined,6
215,air,4
216,900,10
217,°C,8
218,10,10
219,min,8
220,heating,4
221,rate,4
222,5,10
223,°C min−1,11
225,cooled,6
226,room,11
227,temperature,11
228,naturally,0
229,Finally,0
230,red,2
231,powder,2
232,obtained,0
233,collected,0
234,characterizations,0
236,Synthesis,7
237,GO,2
238,Na3V2(PO4)3,2
239,GO,2
240,prepared,6
241,improved,0
242,Hummers,0
243,course,0
244,The,0
245,resultant,0
246,GO,2
247,dispersion,0
248,underwent,0
249,dialysis,6
250,room,11
251,temperature,11
252,14,10
253,days,8
254,rotary,6
255,evaporation,6
256,60,10
257,°C,8
258,remove,0
259,suitable,0
260,water,0
261,The,0
262,concentration,3
263,ﬁnal,0
264,GO,2
265,dispersion,0
266,adopted,0
267,5.24,10
268,mg ,9
269,mL−1,9
270,In,0
271,typical,0
272,synthesis,7
273,Na3V2(PO4)3,2
274,NVP,2
275,NH4VO3,1
276,2,10
277,mmol,9
278,oxalic,1
279,acid,1
280,8.4,10
281,mmol,9
282,added,4
283,80,10
284,mL,9
285,water,4
286,80,10
287,°C,8
288,After,0
289,stirring,6
290,1,10
291,h,8
292,GO,2
293,dispersion,0
294,added,6
295,mixture,3
296,sonication,4
297,0.5,10
298,h,8
299,Then,0
300,Na2CO3,1
301,1.5,10
302,mmol,9
303,NH4H2PO4,1
304,3,10
305,mmol,9
306,added,6
307,agitation,4
308,36,10
309,h,8
310,The,0
311,resultant,0
312,product,0
313,precalcined,6
314,350,10
315,°C,8
316,3,10
317,h,8
318,N2,4
319,atmosphere,4
320,followed,0
321,powder,3
322,produced,0
323,calcined,6
324,700,10
325,°C,8
326,10,10
327,h,8
328,H2−Ar,4
329,mixture,3
330,5%,12
331,H2,4
332,v/v,4
333,CuInSe2,2
334,Nanocrystal,3
335,Synthesis,7
336,CIS,2
337,nanocrystals,3
338,synthesized,7
339,using,0
340,modiﬁcation,0
341,published,0
342,procedures,0
343,In,0
344,typical,0
345,reaction,0
346,2,10
347,mmol,9
348,CuCl,1
349,2,10
350,mmol,9
351,InCl3,1
352,4,10
353,mmol,9
354,Se,1
355,20,10
356,mL,9
357,degassed,11
358,oleylamine,1
359,added,6
360,100,10
361,mL,9
362,three-neck-ﬂask,5
364,inside,11
365,N2,4
366,ﬁlled,6
367,glovebox,5
368,The,0
369,ﬂask,5
370,attached,0
371,standard,5
372,Schlenk,5
373,line,5
374,degassed,11
375,110,10
376,°C,8
377,vacuum,4
378,45,10
379,min,8
380,The,0
381,ﬂask,5
382,ﬁlled,6
383,nitrogen,4
384,heated,6
385,200,10
386,°C,8
387,After,0
388,30,10
389,min,8
390,temperature,4
391,raised,0
392,260,10
393,°C,8
394,After,0
395,10,10
396,min,8
397,heating,6
398,mantle,5
399,removed,6
400,reaction,0
401,allowed,0
402,cool,6
403,room,4
404,temperature,4
405,The,0
406,nanocrystals,3
407,washed,6
408,via,0
409,centrifugation,6
410,using,0
411,toluene,11
412,ethanol,11
413,solvent,4
414,antisolvent,4
415,respectively,0
416,Poorly,11
417,capped,11
418,nanocrystals,2
419,separated,6
420,toluene,11
421,solution,3
422,via,0
423,centrifugation,6
424,The,0
425,ﬁnal,0
426,nanocrystal,2
427,dispersion,2
428,transferred,6
429,glovebox,5
430,ligand,7
431,exchange,7
433,Synthesis,7
434,PEI-PTMC,2
435,PTMC20k-COOH,1
436,4.0,10
437,g,9
438,0.2,10
439,mmol,9
440,DCC,1
441,4.1,10
442,g,9
443,20,10
444,mmol,9
445,dissolved,6
446,10,10
447,mL,9
448,dried,4
449,DMF,4
450,stirred,6
451,room,4
452,temperature,4
453,2,10
454,h,8
455,Then,0
456,PEI25K,1
457,5.0,10
458,g,9
459,0.2,10
460,mmol,9
461,DMAP,1
462,0.27,10
463,g,9
464,2,10
465,mmol,9
466,added,6
467,solution,3
468,The,0
469,solution,3
470,kept,0
471,stirring,6
472,room,4
473,temperature,4
474,24,10
475,h,8
476,The,0
477,resulting,0
478,mixture,3
479,ﬁltered,6
480,ﬁltrate,3
481,dialyzed,6
482,MWCO,4
483,=,11
484,30000,10
485,Da,9
486,distilled,4
487,water,4
488,48,10
489,h,8
490,lyophilized,6
491,obtain,0
492,PEI-PTMC,2
493,Synthesis,7
494,PEG-DA,2
495,mPEG2k-NH2,1
496,400,10
497,mg,9
498,0.2,10
499,mmol,9
500,DA,1
501,276,10
502,mg,9
503,2,10
504,mmol,9
505,20,10
506,mL,9
507,PBS,1
508,pH,8
509,8.0,10
510,stirred,6
511,room,4
512,temperature,4
513,24,10
514,h,8
515,Then,0
516,solution,3
517,dialyzed,6
518,MWCO,4
519,=,11
520,1000,10
521,Da,9
522,distilled,4
523,water,4
524,neutral,11
525,pH,8
526,24,10
527,h,8
528,lyophilized,6
529,obtain,0
530,PEG-DA,2
531,°C,8
532,Synthesis,7
533,LiMgxCuyCo1−x−yO2,2
534,carried,0
535,mixing,6
536,stoichiometric,11
537,amounts,11
538,Li(COOCH3)2·2H2O,1
539,Co(COOCH3)2·4H2O,1
540,Cu(NO3)2·3H2O,1
541,Mg(COOCH3)2·4H2O,1
542,dissolving,6
543,minimum,11
544,quantity,11
545,triple,12
546,distilled,4
547,water,4
548,The,0
549,resulting,0
550,solution,3
551,concentrated,0
552,stirring,6
553,continuously,0
554,100,10
555,Thus,0
556,concentrated,0
557,solution,3
558,transferred,0
559,silica,0
560,crucible,5
561,placed,0
562,centre,0
563,rotating,0
564,plate,0
565,microwave,5
566,oven,5
567,Kenstar,0
568,India,0
569,2450,10
570,MHz,8
571,800,10
572,W,8
573,The,0
574,solution,3
575,irradiated,6
576,100%,12
577,power,4
578,15−25,10
579,minutes,8
580,During,0
581,reaction,0
582,acetates,1
583,nitrates,1
584,quickly,0
585,burnt,4
586,red,0
587,glow,0
588,appears,0
589,inside,0
590,silica,0
591,crucible,5
592,throughout,0
593,reaction,0
594,After,0
595,irradiation,6
596,product,0
597,ground,6
598,hours,8
599,obtain,0
600,phase,0
601,pure,0
602,LiMgxCuyCo1−x−yO2,2
