,word,label
563,TiO2,2
564,−M−TiO2,2
565,films,2
566,annealed,6
567,500,10
568,°C,8
569,air,4
570,2,10
571,h,8
572,Different,11
573,ZnIn2S4,2
574,polymorphs,2
575,synthesized,7
576,via,0
577,hydrothermal,4
578,process,4
579,according,0
580,previous,0
581,report,0
582,For,0
583,cubic,0
584,ZnIn2S4,1
586,Zn(NO3)2·6H2O,1
587,0.297,10
588,g,9
589,1,10
590,mmol,9
591,In-(NO3)3·4.5H2O,1
592,0.762,10
593,g,9
594,2,10
595,mmol,9
596,thioacetamide,1
597,TAA,1
598,0.15,10
599,g,9
600,2,10
601,mmol,9
602,dissolved,6
603,70,10
604,mL,9
605,deionized,1
606,water,1
607,transferred,6
608,100,10
609,mL,9
610,Teflon,5
611,linear,5
612,The,0
613,Teflon,5
614,linear,5
615,sealed,6
616,stainless,5
617,steel,5
618,autoclave,5
619,heated,6
620,120,10
621,°C,8
622,After,0
623,reaction,0
624,autoclave,5
625,cooled,6
626,room,0
627,temperature,0
628,The,0
629,product,2
630,collected,6
631,washed,6
632,deionized,4
633,water,4
634,several,11
635,times,11
636,dried,4
637,60,10
638,°C,8
639,obtain,0
640,final,0
641,product,0
642,A,0
643,similar,0
644,procedure,0
645,applied,0
646,preparation,2
647,hexagonal,2
648,ZnIn2S4,2
649,microspheres,2
650,except,0
651,ZnCl2,1
652,InCl3·4H2O,1
653,used,0
654,metal,1
655,precursors,1
